,0,1,2,3,4
203,DEN,MIN,43胜22负,19胜45负,100:98
204,IND,ORL,39胜26负,30胜35负,109:102
205,CHA,PHI,23胜42负,39胜26负,106:114
206,MIL,OKC,53胜12负,40胜24负,121:119
207,CLE,NYK,19胜46负,21胜45负,108:87
208,BKN,PHX,30胜34负,26胜39负,112:138
209,ATL,POR,20胜47负,29胜37负,113:124
210,TOR,LAL,46胜18负,49胜14负,113:104
211,MIN,DET,19胜45负,20胜46负,120:114
212,DAL,BOS,40胜27负,43胜21负,106:116
213,MEM,SAS,32胜33负,27胜36负,113:109
214,HOU,NOP,40胜24负,28胜36负,122:116
215,UTA,GSW,41胜23负,15胜50负,122:108
216,TOR,LAC,46胜18负,44胜20负,88:98
217,CLE,PHI,19胜46负,39胜26负,97:98
218,OKC,IND,40胜24负,39胜26负,85:111
219,DET,MIA,20胜46负,41胜24负,108:117
220,NYK,CHI,21胜45负,22胜43负,102:120
221,ATL,DEN,20胜47负,43胜22负,125:121
222,LAL,PHX,49胜14负,26胜39负,123:115
223,BKN,UTA,30胜34负,41胜23负,114:119
224,POR,SAC,29胜37负,28胜36负,99:107
225,MEM,CHA,32胜33负,23胜42负,119:117
226,PHI,ORL,39胜26负,30胜35负,97:112
227,LAC,HOU,44胜20负,40胜24负,93:102
228,WAS,BOS,24胜40负,43胜21负,133:140
229,SAS,MIN,27胜36负,19胜45负,114:129
230,GSW,LAL,15胜50负,49胜14负,94:120
231,TOR,POR,46胜18负,29胜37负,114:106
232,MIA,CLE,41胜24负,19胜46负,108:97
233,LAC,NOP,44胜20负,28胜36负,127:132
234,DAL,NYK,40胜27负,21胜45负,103:106
235,CHI,MIL,22胜43负,53胜12负,115:124
236,ATL,PHX,20胜47负,26胜39负,112:128
237,BKN,DEN,30胜34负,43胜22负,93:101
238,DET,CHA,20胜46负,23胜42负,106:109
239,SAS,ORL,27胜36负,30胜35负,109:111
240,IND,HOU,39胜26负,40胜24负,102:111
241,WAS,MIN,24胜40负,19胜45负,137:116
242,UTA,MEM,41胜23负,32胜33负,106:107
243,PHI,OKC,39胜26负,40胜24负,119:127
244,SAC,LAL,28胜36负,49胜14负,97:99
245,BOS,GSW,43胜21负,15胜50负,105:100
246,BKN,CHI,30胜34负,22胜43负,117:111
247,MIL,IND,53胜12负,39胜26负,102:83
248,CHA,NYK,23胜42负,21胜45负,103:102
249,HOU,MIN,40胜24负,19胜45负,125:105
250,NOP,MIA,28胜36负,41胜24负,94:109
251,TOR,DAL,46胜18负,40胜27负,102:110
252,POR,SAS,29胜37负,27胜36负,121:116
253,ATL,LAC,20胜47负,44胜20负,101:150
254,PHI,CLE,39胜26负,19胜46负,114:95
255,BOS,SAC,43胜21负,28胜36负,99:100
256,WAS,ORL,24胜40负,30胜35负,121:125
257,DEN,MEM,43胜22负,32胜33负,131:114
258,GSW,NOP,15胜50负,28胜36负,100:108
259,ATL,LAL,20胜47负,49胜14负,101:122
260,CLE,NYK,19胜46负,21胜45负,105:123
261,IND,BKN,39胜26负,30胜34负,115:86
262,CHA,TOR,23胜42负,46胜18负,96:132
263,POR,HOU,29胜37负,40胜24负,108:132
264,MIL,CHI,53胜12负,22胜43负,115:101
265,SAS,DAL,27胜36负,40胜27负,110:117
266,BOS,PHX,43胜21负,26胜39负,99:85
267,MIN,UTA,19胜45负,41胜23负,112:102
268,OKC,LAC,40胜24负,44胜20负,88:90
269,GSW,MEM,15胜50负,32胜33负,114:95
270,POR,NOP,29胜37负,28胜36负,104:115
271,PHX,SAC,26胜39负,28胜36负,116:120
272,OKC,LAL,40胜24负,49胜14负,107:112
273,NYK,PHI,21胜45负,39胜26负,104:109
274,SAS,WAS,27胜36负,24胜40负,132:138
275,GSW,DAL,15胜50负,40胜27负,94:142
276,MIL,ATL,53胜12负,20胜47负,135:127
277,ORL,TOR,30胜35负,46胜18负,97:113
278,CLE,MIA,19胜46负,41胜24负,100:124
279,CHA,BKN,23胜42负,30胜34负,91:101
280,UTA,MIN,41胜23负,19胜45负,103:95
281,DET,CHI,20胜46负,22胜43负,89:109
282,HOU,DEN,40胜24负,43胜22负,95:105
283,BOS,LAC,43胜21负,44胜20负,104:107
284,POR,MIL,29胜37负,53胜12负,129:137
285,NOP,PHX,28胜36负,26胜39负,124:121
286,CHA,WAS,23胜42负,24胜40负,118:125
287,ATL,DET,20胜47负,20胜46负,103:128
288,SAC,BKN,28胜36负,30胜34负,97:116
289,MIA,CHI,41胜24负,22胜43负,116:108
290,SAS,PHI,27胜36负,39胜26负,104:115
291,LAL,OKC,49胜14负,40胜24负,130:127
292,CLE,DAL,19胜46负,40胜27负,101:143
293,BOS,DEN,43胜21负,43胜22负,92:96
294,GSW,UTA,15胜50负,41胜23负,109:113
295,HOU,LAC,40胜24负,44胜20负,119:122
296,PHX,MIN,26胜39负,19胜45负,100:98
297,CHI,CHA,22胜43负,23胜42负,116:115
298,ORL,IND,30胜35负,39胜26负,106:111
299,SAS,NYK,27胜36负,21胜45负,111:104
300,TOR,ATL,46胜18负,20胜47负,119:116
301,MIA,PHI,41胜24负,39胜26负,86:113
302,POR,CLE,29胜37负,19胜46负,104:110
303,LAL,MEM,49胜14负,32胜33负,109:108
304,DET,MIL,20胜46负,53胜12负,90:104
305,NOP,UTA,28胜36负,41胜23负,120:128
306,DAL,HOU,40胜27负,40胜24负,137:123
307,SAC,WAS,28胜36负,24胜40负,113:106
308,BKN,NYK,30胜34负,21胜45负,103:101
309,PHX,DEN,26胜39负,43胜22负,104:116
310,NOP,LAC,28胜36负,44胜20负,109:134
311,BKN,CLE,30胜34负,19胜46负,108:106
312,ORL,DET,30胜35负,20胜46负,88:103
313,MEM,IND,32胜33负,39胜26负,114:126
314,MIN,ATL,19胜45负,20胜47负,125:113
315,PHI,TOR,39胜26负,46胜18负,96:101
316,CHA,MIA,23胜42负,41胜24负,100:117
317,SAC,BOS,28胜36负,43胜21负,102:103
318,POR,CHI,29胜37负,22胜43负,117:94
319,UTA,MIL,41胜23负,53胜12负,118:122
320,LAL,SAS,49胜14负,27胜36负,114:104
321,OKC,GSW,40胜24负,15胜50负,100:97
322,LAC,DAL,44胜20负,40胜27负,114:99
323,WAS,DEN,24胜40负,43胜22负,104:117
324,ORL,CLE,30胜35负,19胜46负,116:104
325,BKN,BOS,30胜34负,43胜21负,110:121
326,UTA,IND,41胜23负,39胜26负,102:121
327,SAC,PHI,28胜36负,39胜26负,91:97
328,DET,CHA,20胜46负,23胜42负,101:102
329,NYK,TOR,21胜45负,46胜18负,98:126
330,MIA,HOU,41胜24负,40胜24负,108:117
331,LAC,MEM,44胜20负,32胜33负,121:119
332,ATL,MIL,20胜47负,53胜12负,102:111
333,MIN,SAS,19胜45负,27胜36负,113:101
334,WAS,PHX,24胜40负,26胜39负,140:132
335,LAL,NOP,49胜14负,28胜36负,114:110
336,OKC,POR,40胜24负,29胜37负,119:136
337,CHI,GSW,22胜43负,15胜50负,90:104
338,BOS,BKN,43胜21负,30胜34负,107:112
339,TOR,ORL,46胜18负,30胜35负,90:83
340,CHA,DET,23胜42负,20胜46负,110:107
341,PHI,NYK,39胜26负,21胜45负,101:95
342,MIL,CLE,53胜12负,19胜46负,119:110
343,GSW,MIA,15胜50负,41胜24负,105:122
344,ATL,IND,20胜47负,39胜26负,104:105
345,NOP,OKC,28胜36负,40胜24负,104:109
346,UTA,MEM,41胜23负,32胜33负,103:94
347,LAC,SAS,44胜20负,27胜36负,97:107
348,DAL,PHX,40胜27负,26胜39负,120:113
349,CHI,POR,22胜43负,29胜37负,103:107
350,WAS,LAL,24胜40负,49胜14负,103:125
351,DEN,SAC,43胜22负,28胜36负,97:100
352,IND,PHI,39胜26负,39胜26负,116:119
353,CHA,MIL,23胜42负,53胜12负,96:137
354,ATL,HOU,20胜47负,40胜24负,111:158
355,MIA,BKN,41胜24负,30胜34负,109:106
356,BOS,NYK,43胜21负,21胜45负,113:104
357,MEM,MIN,32胜33负,19胜45负,115:107
358,DAL,LAL,40胜27负,49胜14负,114:100
359,OKC,NOP,40胜24负,28胜36负,107:104
360,SAS,DET,27胜36负,20胜46负,98:132
361,GSW,ORL,15胜50负,30胜35负,96:100
362,UTA,TOR,41胜23负,46胜18负,110:130
363,WAS,LAC,24胜40负,44胜20负,125:150
364,PHX,CHA,26胜39负,23胜42负,109:104
365,UTA,PHI,41胜23负,39胜26负,94:103
366,GSW,ATL,15胜50负,20胜47负,79:104
367,IND,MEM,39胜26负,32胜33负,117:104
368,NYK,MIL,21胜45负,53胜12负,88:132
369,CHI,SAC,22胜43负,28胜36负,113:106
370,DET,CLE,20胜46负,19胜46负,127:94
371,ORL,WAS,30胜35负,24胜40负,127:120
372,MIA,TOR,41胜24负,46胜18负,121:110
373,DAL,NOP,40胜27负,28胜36负,118:97
374,HOU,SAS,40胜24负,27胜36负,133:135
375,LAL,DEN,49胜14负,43胜22负,105:96
376,POR,LAC,29胜37负,44胜20负,97:117
377,PHX,ORL,26胜39负,30胜35负,114:128
378,GSW,CHA,15胜50负,23胜42负,91:106
379,MIL,DET,53胜12负,20胜46负,127:103
380,MIA,BOS,41胜24负,43胜21负,93:112
381,BKN,ATL,30胜34负,20胜47负,130:118
382,IND,OKC,39胜26负,40胜24负,107:100
383,MEM,CHI,32胜33负,22胜43负,99:106
384,MIN,DAL,19胜45负,40胜27负,114:121
385,LAL,UTA,49胜14负,41胜23负,121:96
386,SAC,POR,28胜36负,29胜37负,116:127
387,PHI,WAS,39胜26负,24胜40负,113:119
388,DEN,NYK,43胜22负,21胜45负,129:92
389,HOU,TOR,40胜24负,46胜18负,119:109
390,PHX,NOP,26胜39负,28胜36负,139:132
391,IND,DET,39胜26负,20胜46负,101:108
392,BKN,CHA,30胜34负,23胜42负,111:104
393,ORL,CLE,30胜35负,19胜46负,93:87
394,MIN,OKC,19胜45负,40胜24负,127:139
395,WAS,MIA,24胜40负,41胜24负,103:112
396,DEN,BOS,43胜22负,43胜21负,95:108
397,GSW,CHI,15胜50负,22胜43负,100:98
398,LAC,MIL,44胜20负,53胜12负,91:119
399,SAC,SAS,28胜36负,27胜36负,104:105
400,LAL,POR,49胜14负,29胜37负,136:113
401,NOP,DAL,28胜36负,40胜27负,84:130
402,CLE,PHI,19胜46负,39胜26负,94:141
403,IND,NYK,39胜26负,21胜45负,104:103
